,ISO,dt_00,dt_01,dt_02,dt_03,evaldt_00,evaldt_01,evaldt_02,evaldt_03
257,CMR,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
258,CAF,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
259,TCD,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
260,CHN,2,2,2,2,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
261,COL,4,4,5,5,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
262,COG,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
263,CRI,4,4,4,4,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
264,CIV,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
265,HRV,5,5,5,5,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
266,CUB,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
267,PRK,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
268,COD,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
269,DOM,5,5,5,5,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
270,ECU,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
271,EGY,4,4,4,4,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
272,SLV,4,4,4,4,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
273,ETH,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
274,GAB,6,6,6,6,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
275,GMB,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
276,GEO,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
277,GHA,6,5,5,5,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
278,GTM,6,6,6,6,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
279,GIN,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
280,GNB,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
281,GUY,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
282,HND,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
283,HKG,2,2,2,2,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
284,IND,3,3,3,3,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
285,IDN,6,6,6,6,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
286,IRN,6,6,6,6,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
287,IRQ,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
288,JAM,5,5,5,5,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
289,JOR,5,6,6,6,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
290,KAZ,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
291,KEN,6,6,6,6,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
292,KWT,3,3,3,3,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
293,KGZ,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
294,LBN,5,5,5,5,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
295,LSO,5,5,5,6,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
296,LBR,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
297,LBY,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
298,MDG,7,7,7,7,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00
