,input_option,history_len,archi,iter_no,loss,accuracy,mean squared error
133,ev_nm_5_2_5_0_rnn__12,12,rnn,1,0.12737146019935608,0.9749807715415955,0.01629764586687088
134,ev_nm_5_2_5_0_lstm__12,12,lstm,1,0.12845441699028015,0.9749807715415955,0.016274789348244667
135,ev_nm_5_2_5_0_gru__12,12,gru,1,0.12996172904968262,0.9749807715415955,0.016359534114599228
136,BaseLine,12,,2,0.0,0.9742109179496765,0.06851424276828766
137,grades_only,12,gru,2,0.131056547164917,0.9742109179496765,0.016781823709607124
138,ev_nm_30_1_5_1_rnn__12,12,rnn,2,0.12729083001613617,0.9753656387329102,0.016059020534157753
139,ev_nm_30_1_5_1_lstm__12,12,lstm,2,0.12675754725933075,0.9753656387329102,0.016065331175923347
140,ev_nm_30_1_5_1_gru__12,12,gru,2,0.12590035796165466,0.9753656387329102,0.016033008694648743
141,ev_nm_5_2_10_1_rnn__12,12,rnn,2,0.1266217827796936,0.9761354923248291,0.015678320080041885
142,ev_nm_5_2_10_1_lstm__12,12,lstm,2,0.12446930259466171,0.9761354923248291,0.015623798593878746
143,ev_nm_5_2_10_1_gru__12,12,gru,2,0.12611493468284607,0.9761354923248291,0.01565060392022133
144,ev_nm_5_2_10_0_rnn__12,12,rnn,2,0.11942420899868011,0.9772902131080627,0.014850888401269913
145,ev_nm_5_2_10_0_lstm__12,12,lstm,2,0.11963280290365219,0.9772902131080627,0.01485526841133833
146,ev_nm_5_2_10_0_gru__12,12,gru,2,0.12079083919525146,0.9772902131080627,0.01486923173069954
147,ev_ex_0_1_10_0_rnn__12,12,rnn,2,0.13914841413497925,0.973825991153717,0.017122091725468636
148,ev_ex_0_1_10_0_lstm__12,12,lstm,2,0.13387054204940796,0.973825991153717,0.0170192401856184
149,ev_ex_0_1_10_0_gru__12,12,gru,2,0.13783055543899536,0.973825991153717,0.01710115186870098
150,ev_nm_0_2_10_0_rnn__12,12,rnn,2,0.1238575428724289,0.9761354923248291,0.015566080808639526
151,ev_nm_0_2_10_0_lstm__12,12,lstm,2,0.12302030622959137,0.9761354923248291,0.015538875944912434
152,ev_nm_0_2_10_0_gru__12,12,gru,2,0.1253245621919632,0.9761354923248291,0.015588177368044853
153,BaseLine,6,,0,0.0,0.9747368693351746,0.06947368383407593
154,grades_only,6,gru,0,0.13259455561637878,0.9747368693351746,0.016484959051012993
155,ev_nm_5_2_5_1_rnn__6,6,rnn,0,0.11628226190805435,0.9792982339859009,0.013753104954957962
156,ev_nm_5_2_5_1_lstm__6,6,lstm,0,0.11520682275295258,0.9792982339859009,0.013785155490040779
157,ev_nm_5_2_5_1_gru__6,6,gru,0,0.11483430862426758,0.9792982339859009,0.01372422557324171
158,ev_ex_20_1_5_0_rnn__6,6,rnn,0,0.12342275679111481,0.9761403799057007,0.015554801560938358
159,ev_ex_20_1_5_0_lstm__6,6,lstm,0,0.12289975583553314,0.9761403799057007,0.015518184751272202
