,input_option,history_len,archi,iter_no,loss,accuracy,mean squared error
154,ev_nm_30_1_5_0_rnn__36,36,rnn,1,0.127940833568573,0.9772307872772217,0.015167583711445332
155,ev_nm_30_1_5_0_lstm__36,36,lstm,1,0.12742750346660614,0.9772307872772217,0.01508160401135683
156,ev_nm_30_1_5_0_gru__36,36,gru,1,0.12886497378349304,0.9772307872772217,0.015102549456059933
157,ev_ex_20_1_5_0_rnn__36,36,rnn,1,0.13015909492969513,0.9741538166999817,0.016775501891970634
158,ev_ex_20_1_5_0_lstm__36,36,lstm,1,0.13117334246635437,0.9741538166999817,0.016800394281744957
159,ev_ex_20_1_5_0_gru__36,36,gru,1,0.13294832408428192,0.9741538166999817,0.01681583561003208
160,BaseLine,36,,2,0.0,0.9784615635871887,0.04923076927661896
161,grades_only,36,rnn,2,0.11548478901386261,0.9784615635871887,0.014104104600846767
162,ev_ex_15_2_10_0_rnn__36,36,rnn,2,0.12438315153121948,0.9772307872772217,0.014875127002596855
163,ev_ex_15_2_10_0_lstm__36,36,lstm,2,0.12250859290361404,0.9772307872772217,0.014892267994582653
164,ev_ex_15_2_10_0_gru__36,36,gru,2,0.1255565583705902,0.9772307872772217,0.014837648719549179
165,ev_ex_10_1_5_0_rnn__36,36,rnn,2,0.12369174510240555,0.9772307872772217,0.015068710781633854
166,ev_ex_10_1_5_0_lstm__36,36,lstm,2,0.1190325915813446,0.9772307872772217,0.01483843196183443
167,ev_ex_10_1_5_0_gru__36,36,gru,2,0.12193934619426727,0.9772307872772217,0.014902913942933083
168,ev_nm_5_2_10_0_rnn__36,36,rnn,2,0.1322658360004425,0.9760000109672546,0.01594448648393154
169,ev_nm_5_2_10_0_lstm__36,36,lstm,2,0.13451355695724487,0.9760000109672546,0.016130078583955765
170,ev_nm_5_2_10_0_gru__36,36,gru,2,0.132734015583992,0.9760000109672546,0.015933144837617874
171,ev_nm_30_2_5_1_rnn__36,36,rnn,2,0.1402018964290619,0.9741538166999817,0.017025290057063103
172,ev_nm_30_2_5_1_lstm__36,36,lstm,2,0.1369830071926117,0.9741538166999817,0.016905328258872032
173,ev_nm_30_2_5_1_gru__36,36,gru,2,0.1392272710800171,0.9741538166999817,0.01695839688181877
174,ev_ex_15_2_10_0_rnn__36,36,rnn,2,0.10764540731906891,0.979692280292511,0.013299942947924137
175,ev_ex_15_2_10_0_lstm__36,36,lstm,2,0.10820800065994263,0.979692280292511,0.013252603821456432
176,ev_ex_15_2_10_0_gru__36,36,gru,2,0.10870899260044098,0.979692280292511,0.013303438201546669
177,ev_nm_15_2_5_1_rnn__36,36,rnn,2,0.12686516344547272,0.9772307872772217,0.01513122208416462
178,ev_nm_15_2_5_1_lstm__36,36,lstm,2,0.1251465529203415,0.9772307872772217,0.015010346658527851
179,ev_nm_15_2_5_1_gru__36,36,gru,2,0.12379433959722519,0.9772307872772217,0.014981475658714771
180,ev_nm_0_1_5_1_rnn__36,36,rnn,2,0.11238090693950653,0.979692280292511,0.01331569254398346
181,ev_nm_0_1_5_1_lstm__36,36,lstm,2,0.11035065352916718,0.979692280292511,0.013342377729713917
182,ev_nm_0_1_5_1_gru__36,36,gru,2,0.11233708262443542,0.979692280292511,0.013333562761545181
183,ev_nm_10_1_10_1_rnn__36,36,rnn,2,0.14897210896015167,0.9716923236846924,0.018523266538977623
184,ev_nm_10_1_10_1_lstm__36,36,lstm,2,0.1520019769668579,0.9716923236846924,0.01858416199684143
185,ev_nm_10_1_10_1_gru__36,36,gru,2,0.15030637383460999,0.9716923236846924,0.018647992983460426
186,ev_ex_0_1_5_1_rnn__36,36,rnn,2,0.1351102739572525,0.9741538166999817,0.01691209338605404
187,ev_ex_0_1_5_1_lstm__36,36,lstm,2,0.1355769783258438,0.9741538166999817,0.016895262524485588
188,ev_ex_0_1_5_1_gru__36,36,gru,2,0.13718418776988983,0.9741538166999817,0.016924787312746048
189,ev_ex_30_1_10_1_rnn__36,36,rnn,2,0.13166934251785278,0.9753845930099487,0.016135547310113907
190,ev_ex_30_1_10_1_lstm__36,36,lstm,2,0.13098211586475372,0.9753845930099487,0.016115812584757805
191,ev_ex_30_1_10_1_gru__36,36,gru,2,0.1307532638311386,0.9753845930099487,0.016209786757826805
192,BaseLine,12,,0,0.0,0.9715165495872498,0.07351808995008469
193,grades_only,12,rnn,0,0.14423397183418274,0.9715165495872498,0.018514594063162804
194,ev_ex_10_1_10_1_rnn__12,12,rnn,0,0.13272997736930847,0.9742109179496765,0.01677005924284458
195,ev_ex_10_1_10_1_lstm__12,12,lstm,0,0.13441981375217438,0.9742109179496765,0.016800403594970703
196,ev_ex_10_1_10_1_gru__12,12,gru,0,0.13329707086086273,0.9742109179496765,0.01681019552052021
197,ev_ex_20_1_10_1_rnn__12,12,rnn,0,0.13649889826774597,0.973825991153717,0.017096564173698425
